name,id,align,eye,hair,sex,alive,appearances,first appearance,year
tityus (earth-616),public identity,,,black hair,male characters,living characters,2.0,jun-94,1994.0
price (worldengine) (earth-616),public identity,bad characters,blue eyes,white hair,male characters,deceased characters,2.0,jan-96,1996.0
xanto starblood (earth-616),secret identity,bad characters,purple eyes,no hair,male characters,living characters,8.0,apr-12,2012.0
brag beaver (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,1.0,jul-51,1951.0
zoran (earth-616),no dual identity,bad characters,,black hair,male characters,deceased characters,3.0,oct-07,2007.0
sasha (earth-616),public identity,good characters,,blond hair,female characters,living characters,3.0,aug-04,2004.0
wanda maximoff (skrull) (earth-616),secret identity,bad characters,green eyes,no hair,female characters,living characters,3.0,jun-08,2008.0
klara prast (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,29.0,aug-07,2007.0
lawrence chesney (earth-616),secret identity,,brown eyes,brown hair,male characters,living characters,15.0,aug-75,1975.0
consultant (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,15.0,apr-06,2006.0
ghostly terrill (earth-616),public identity,bad characters,,white hair,male characters,deceased characters,1.0,dec-44,1944.0
ho yinsen (earth-616),public identity,good characters,brown eyes,white hair,male characters,deceased characters,32.0,mar-63,1963.0
harlan krueger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,14.0,nov-73,1973.0
iann-23 (earth-616),public identity,good characters,blue eyes,no hair,male characters,living characters,41.0,jan-82,1982.0
"charles, prince of wales (earth-616)",public identity,good characters,,grey hair,male characters,living characters,2.0,,
doctor necrosis (earth-616),public identity,bad characters,,bald,male characters,deceased characters,1.0,mar-44,1944.0
mist (earth-616),secret identity,good characters,,blond hair,female characters,living characters,7.0,,
opal tanaka (earth-616),no dual identity,,blue eyes,black hair,female characters,living characters,26.0,feb-90,1990.0
top man (earth-616),,bad characters,black eyes,black hair,male characters,living characters,3.0,aug-70,1970.0
borya cich (earth-616),no dual identity,bad characters,blue eyes,bald,male characters,deceased characters,6.0,oct-12,2012.0
bereet (earth-616),no dual identity,,red eyes,no hair,female characters,living characters,17.0,mar-82,1982.0
dormammu (earth-616),no dual identity,bad characters,yellow eyes,no hair,male characters,living characters,132.0,nov-64,1964.0
william knox (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,6.0,jul-92,1992.0
martha davis (earth-616),public identity,good characters,,brown hair,female characters,living characters,1.0,aug-40,1940.0
protozoan porter (legion personality) (earth-616),secret identity,neutral characters,,no hair,,living characters,2.0,,
gazer (earth-616),secret identity,neutral characters,green eyes,green hair,male characters,deceased characters,12.0,jun-05,2005.0
witness (1949) (earth-616),secret identity,neutral characters,,,male characters,living characters,5.0,jan-49,1949.0
leyla (earth-616),,bad characters,,,female characters,living characters,4.0,jun-04,2004.0
eugene van der merwe (earth-616),public identity,bad characters,,,male characters,living characters,4.0,jun-89,1989.0
eluke (earth-616),public identity,good characters,white eyes,,male characters,deceased characters,2.0,jul-80,1980.0
keep (earth-616),public identity,bad characters,,,male characters,living characters,4.0,aug-12,2012.0
steve rubino (earth-616),,,,,male characters,living characters,9.0,may-91,1991.0
"nick lewis, jr. (earth-616)",secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,nov-75,1975.0
apalla (earth-616),secret identity,,,red hair,female characters,living characters,6.0,apr-77,1977.0
sarah stacy (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,aug-04,2004.0
ereshkigal (goddess) (earth-616),,bad characters,blue eyes,black hair,female characters,living characters,2.0,oct-82,1982.0
zar (nowhere) (earth-616),no dual identity,bad characters,,white hair,male characters,living characters,1.0,dec-42,1942.0
tyrr (earth-616),public identity,neutral characters,,brown hair,male characters,living characters,2.0,sep-72,1972.0
min li ng (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,13.0,jan-91,1991.0
dogma (earth-616),secret identity,bad characters,,no hair,male characters,living characters,3.0,aug-02,2002.0
william young (earth-616),,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,jun-75,1975.0
creature from krogarr (earth-616),secret identity,bad characters,,,male characters,living characters,3.0,nov-61,1961.0
marci camp (earth-616),secret identity,bad characters,blue eyes,,female characters,living characters,2.0,,
george whitaker (earth-616),public identity,neutral characters,,,male characters,deceased characters,1.0,dec-45,1945.0
tragg (earth-616),,bad characters,,,male characters,living characters,3.0,oct-71,1971.0
ms. welsh (earth-616),public identity,,,brown hair,female characters,living characters,1.0,dec-85,1985.0
juan luis fernandez (earth-616),secret identity,bad characters,,black hair,male characters,deceased characters,1.0,nov-48,1948.0
kan (earth-616),no dual identity,neutral characters,,bald,male characters,living characters,2.0,oct-80,1980.0
kray-tor (earth-616),public identity,,,no hair,male characters,deceased characters,17.0,jun-75,1975.0
colleen wing (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,175.0,nov-74,1974.0
jonathan caesar (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,13.0,sep-88,1988.0
frank rambeau (earth-616),public identity,good characters,,white hair,male characters,living characters,10.0,aug-84,1984.0
jeanne chretien (earth-616),secret identity,neutral characters,,,female characters,living characters,2.0,dec-85,1985.0
sayf ad-din abu bakr al-malik al-adil (earth-616),public identity,good characters,,black hair,male characters,living characters,1.0,aug-90,1990.0
carmen nobili (earth-616),public identity,bad characters,brown eyes,bald,male characters,deceased characters,5.0,,
jimmy everett (earth-616),,good characters,blue eyes,blond hair,male characters,living characters,3.0,,
count lust (earth-616),secret identity,bad characters,,bald,male characters,deceased characters,1.0,sep-43,1943.0
jack williams (earth-616),public identity,bad characters,,black hair,male characters,living characters,2.0,jul-45,1945.0
martin goodman (earth-616),public identity,good characters,,black hair,male characters,living characters,2.0,aug-42,1942.0
talan (earth-616),public identity,good characters,,black hair,male characters,deceased characters,2.0,feb-94,1994.0
dafydd ap iowerth (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,4.0,mar-89,1989.0
matilda von tromp (earth-616),secret identity,bad characters,,red hair,female characters,living characters,4.0,jan-76,1976.0
anton vanko (heroes reborn) (earth-616),public identity,bad characters,,,male characters,deceased characters,2.0,aug-97,1997.0
justicar (earth-616),public identity,neutral characters,,,female characters,deceased characters,3.0,apr-13,2013.0
sigyn (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,22.0,sep-78,1978.0
megara (earth-616),,good characters,,,female characters,deceased characters,4.0,sep-05,2005.0
spence williams (earth-616),public identity,good characters,,red hair,male characters,living characters,2.0,apr-02,2002.0
maria hill (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,325.0,apr-05,2005.0
arthur dearborn (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,15.0,feb-81,1981.0
jonathan n. york (earth-616),secret identity,bad characters,,,male characters,living characters,3.0,aug-09,2009.0
scaldings (earth-616),,bad characters,,,,living characters,2.0,oct-95,1995.0
daniel fielstein (earth-616),public identity,good characters,,black hair,male characters,living characters,24.0,nov-90,1990.0
steven coffin (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,8.0,feb-79,1979.0
sarah garza (earth-616),no dual identity,good characters,black eyes,brown hair,female characters,living characters,2.0,,
unipar (earth-616),public identity,bad characters,,blond hair,male characters,living characters,3.0,sep-87,1987.0
buck cowan (earth-616),no dual identity,good characters,,brown hair,male characters,living characters,42.0,jun-72,1972.0
frank farnum (earth-616),,bad characters,brown eyes,black hair,male characters,living characters,28.0,may-66,1966.0
jonathan bryant (human) (earth-616),public identity,neutral characters,blue eyes,brown hair,male characters,deceased characters,5.0,sep-08,2008.0
jenna cole (earth-616),public identity,good characters,blue eyes,white hair,female characters,living characters,4.0,mar-09,2009.0
jacob fury (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,30.0,aug-67,1967.0
buck richlen (earth-616),no dual identity,bad characters,,blond hair,male characters,living characters,6.0,dec-78,1978.0
nestor garcia (earth-616),no dual identity,,black eyes,black hair,male characters,living characters,5.0,jan-04,2004.0
astarte (earth-616),secret identity,bad characters,,brown hair,female characters,living characters,2.0,aug-99,1999.0
dicero (earth-616),secret identity,good characters,,grey hair,male characters,living characters,2.0,jul-08,2008.0
frank scalise (earth-616),secret identity,,,,male characters,living characters,5.0,apr-79,1979.0
denebo aruc iii (earth-616),public identity,,,bald,male characters,deceased characters,3.0,apr-06,2006.0
kraa (luphomoid) (earth-616),public identity,bad characters,white eyes,,male characters,living characters,2.0,mar-95,1995.0
greta abbott (earth-616),public identity,bad characters,,blond hair,female characters,deceased characters,4.0,feb-06,2006.0
keerg (earth-616),public identity,bad characters,,black hair,male characters,living characters,4.0,apr-98,1998.0
moru (earth-616),public identity,,black eyes,brown hair,male characters,deceased characters,6.0,aug-94,1994.0
ghost of the antarctic (earth-616),secret identity,neutral characters,,,female characters,living characters,1.0,jun-54,1954.0
freddy sykes (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,4.0,mar-60,1960.0
niko constantin (earth-616),secret identity,bad characters,,brown hair,male characters,living characters,2.0,jun-11,2011.0
celia rawlings (earth-616),,good characters,,,female characters,deceased characters,4.0,sep-65,1965.0
william goldman (earth-616),,,,,male characters,living characters,1.0,jul-89,1989.0
lothithanriaxiaxus (earth-616),public identity,,,green hair,male characters,living characters,2.0,jan-10,2010.0
kaldera (earth-616),public identity,bad characters,,brown hair,female characters,living characters,2.0,,
sybil (earth-616),secret identity,bad characters,,bald,female characters,living characters,3.0,sep-97,1997.0
michael duffy (earth-616),public identity,good characters,,brown hair,male characters,deceased characters,82.0,mar-41,1941.0
tarianna (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,12.0,jun-84,1984.0
velasquesa (earth-616),public identity,bad characters,,white hair,male characters,deceased characters,4.0,jan-47,1947.0
emma malone (earth-616),secret identity,good characters,blue eyes,white hair,female characters,living characters,4.0,oct-93,1993.0
maya teraxtola (earth-616),,,,blond hair,female characters,living characters,10.0,mar-93,1993.0
black swan (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,10.0,may-02,2002.0
gallery (earth-616),public identity,bad characters,,,male characters,living characters,1.0,mar-47,1947.0
sentinel mk iii (earth-616),no dual identity,bad characters,yellow eyes,no hair,,deceased characters,12.0,dec-75,1975.0
kuan-yin xorn (earth-616),secret identity,bad characters,,,male characters,deceased characters,41.0,sep-01,2001.0
tath ki (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,28.0,jun-76,1976.0
bron (earth-616),public identity,good characters,,brown hair,male characters,living characters,6.0,oct-00,2000.0
alpha (mad thinker robot) (earth-616),no dual identity,bad characters,white eyes,no hair,male characters,living characters,1.0,may-83,1983.0
ogun (loa) (earth-616),,bad characters,,,male characters,living characters,3.0,may-90,1990.0
ultimaton (earth-616),secret identity,good characters,,no hair,male characters,living characters,18.0,aug-03,2003.0
zoroaster (earth-616),,bad characters,white eyes,black hair,,living characters,2.0,aug-94,1994.0
jamal afari (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,5.0,sep-75,1975.0
lance gwynn (earth-616),,bad characters,,,male characters,living characters,2.0,aug-97,1997.0
laura kinney (earth-616),secret identity,good characters,green eyes,black hair,female characters,living characters,265.0,feb-04,2004.0
tommy tomkins (earth-616),public identity,,,white hair,male characters,living characters,3.0,jul-66,1966.0
roland burroughs (earth-616),secret identity,bad characters,blue eyes,,male characters,deceased characters,29.0,jun-80,1980.0
anzehlika medvedev (earth-616),no dual identity,neutral characters,blue eyes,black hair,female characters,living characters,2.0,jun-02,2002.0
rose delany (earth-616),public identity,neutral characters,green eyes,blond hair,female characters,deceased characters,5.0,jul-03,2003.0
torrak (earth-616),,,,no hair,male characters,living characters,2.0,jul-62,1962.0
cartwright (earth-616),,,black eyes,grey hair,male characters,living characters,1.0,mar-66,1966.0
danny grogan (earth-616),no dual identity,bad characters,,brown hair,male characters,living characters,1.0,jun-46,1946.0
monk theppie (earth-616),secret identity,bad characters,,bald,male characters,deceased characters,3.0,dec-08,2008.0
scar (earth-616),secret identity,bad characters,,bald,male characters,deceased characters,1.0,oct-41,1941.0
dennis wells (earth-616),,good characters,brown eyes,brown hair,male characters,living characters,4.0,jun-12,2012.0
barry gwynn (earth-616),secret identity,neutral characters,,grey hair,male characters,living characters,2.0,may-08,2008.0
dormouse (earth-616),,bad characters,,,male characters,living characters,2.0,apr-98,1998.0
bambina arbogast (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,living characters,125.0,jan-79,1979.0
demiurge (earth-616),,,,,,living characters,1.0,oct-82,1982.0
danad (earth-616),no dual identity,neutral characters,,no hair,male characters,living characters,1.0,feb-69,1969.0
super-adaptoid (heroes reborn) (earth-616),,good characters,,,,living characters,2.0,sep-97,1997.0
jack power (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,106.0,aug-84,1984.0
jonathan powell (earth-616),,neutral characters,,,male characters,living characters,46.0,mar-91,1991.0
hippolyta (earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,27.0,apr-66,1966.0
charr (earth-616),public identity,,red eyes,bald,male characters,deceased characters,2.0,sep-06,2006.0
victoria donnely (earth-616),secret identity,good characters,,blond hair,female characters,living characters,2.0,feb-00,2000.0
driver reese (earth-616),,neutral characters,green eyes,black hair,female characters,deceased characters,3.0,feb-11,2011.0
izanagi-no-mikoto (earth-616),secret identity,,brown eyes,black hair,male characters,living characters,7.0,oct-80,1980.0
yana li (earth-616),secret identity,neutral characters,,brown hair,female characters,living characters,3.0,aug-09,2009.0
walter macken (earth-616),no dual identity,good characters,,,male characters,living characters,18.0,sep-10,2010.0
pele (oceanic goddess) (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,sep-98,1998.0
jonathan raven (earth-616),secret identity,,,brown hair,male characters,living characters,3.0,jan-07,2007.0
hiroim (earth-616),public identity,,,black hair,male characters,living characters,35.0,apr-06,2006.0
gosamyr (earth-616),secret identity,,black eyes,blond hair,female characters,living characters,14.0,aug-88,1988.0
cole (omega core) (earth-616),public identity,good characters,,brown hair,male characters,living characters,7.0,may-04,2004.0
eric beale (earth-616),,bad characters,,grey hair,male characters,living characters,3.0,oct-84,1984.0
geoffrey wilder (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,deceased characters,38.0,jul-03,2003.0
james (trapeze artist) (earth-616),no dual identity,neutral characters,,,male characters,deceased characters,5.0,apr-74,1974.0
jean grey (skrull) (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,6.0,jun-08,2008.0
arnie roth (earth-616),no dual identity,good characters,,,male characters,deceased characters,26.0,apr-82,1982.0
daisy johnson (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,75.0,jul-04,2004.0
temujai (robot) (earth-616),,neutral characters,,,male characters,living characters,1.0,dec-56,1956.0
cain (abel) (earth-616),no dual identity,neutral characters,,black hair,male characters,living characters,2.0,jun-02,2002.0
carrie bradley (earth-616),public identity,,,red hair,female characters,living characters,5.0,nov-95,1995.0
krueger (earth-616),secret identity,bad characters,,white hair,male characters,living characters,5.0,jul-00,2000.0
