name,id,align,eye,hair,sex,alive,appearances,timeline
rupert holloway (earth-616),no dual identity,not-available,not-available,not-available,male characters,deceased characters,2.0,1988-12-01
arnold kaminsky (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1987-05-01
bull dawson (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,2.0,1941-10-01
commissar (android) (earth-616),public identity,bad characters,not-available,not-available,not-available,deceased characters,2.0,1965-07-01
rudolf parsons (earth-616),secret identity,bad characters,not-available,black hair,male characters,living characters,1.0,1942-05-01
kingo sunen (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,18.0,1977-05-01
calvin rankin (earth-616),not-available,good characters,brown eyes,brown hair,male characters,living characters,67.0,1966-04-01
radium (human) (earth-616),not-available,bad characters,not-available,no hair,not-available,living characters,1.0,1979-10-01
raymond sikorski (earth-616),public identity,good characters,brown eyes,brown hair,male characters,living characters,29.0,1983-09-01
talisman (australian) (earth-616),secret identity,good characters,brown eyes,black hair,male characters,living characters,7.0,1982-06-01
constantius (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,1.0,1975-04-01
dargil (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,3.0,1998-09-01
lenny ballinger (earth-616),public identity,good characters,black eyes,brown hair,male characters,living characters,23.0,1989-05-01
martin bastelli (earth-616),not-available,not-available,brown eyes,black hair,male characters,living characters,6.0,2005-09-01
otmu (earth-616),secret identity,neutral characters,not-available,no hair,male characters,living characters,1.0,1990-10-01
peter scholl (earth-616),not-available,bad characters,brown eyes,bald,male characters,deceased characters,2.0,2008-12-01
doop (earth-616),no dual identity,good characters,variable eyes,black hair,male characters,living characters,113.0,2001-07-01
alice evans (earth-616),no dual identity,good characters,not-available,blond hair,female characters,living characters,1.0,1960-11-01
shadow stalker (earth-616),not-available,bad characters,not-available,bald,male characters,living characters,3.0,1975-03-01
bailey mathius (earth-616),no dual identity,not-available,not-available,not-available,male characters,living characters,3.0,2003-12-01
number 5 (sentinel) (earth-616),not-available,bad characters,not-available,not-available,not-available,deceased characters,1.0,1969-08-01
fantasma (dark ocean society) (earth-616),secret identity,bad characters,not-available,black hair,female characters,living characters,5.0,not-available
hymir (earth-616),not-available,not-available,not-available,grey hair,male characters,living characters,1.0,1978-07-01
flash finnigan (earth-616),public identity,good characters,not-available,blond hair,female characters,living characters,2.0,1952-12-01
von gukk (earth-616),no dual identity,bad characters,not-available,bald,male characters,living characters,1.0,1943-06-01
yi yang (earth-616),not-available,bad characters,green eyes,black hair,female characters,living characters,15.0,1979-06-01
aiko miyazaki (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,1998-09-01
val (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,7.0,2000-10-01
dusk (demon) (earth-616),not-available,bad characters,not-available,not-available,not-available,living characters,9.0,1994-01-01
ikthon (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,14.0,1968-11-01
master of the sun (earth-616),secret identity,good characters,not-available,white hair,male characters,living characters,3.0,1976-01-01
bamboo knife butcher (earth-616),secret identity,bad characters,not-available,grey hair,male characters,deceased characters,1.0,1944-12-01
john cheever (earth-616),not-available,neutral characters,not-available,not-available,male characters,living characters,6.0,1978-09-01
ultron (earth-616),no dual identity,bad characters,red eyes,no hair,male characters,deceased characters,181.0,1968-07-01
jonathan storm (counter-earth) (earth-616),public identity,good characters,blue eyes,blond hair,male characters,living characters,1.0,1973-06-01
mazinger z (earth-616),not-available,not-available,not-available,not-available,not-available,living characters,1.0,1979-02-01
cole yorby (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,1.0,1969-04-01
dragonfire (earth-616),not-available,not-available,not-available,not-available,male characters,deceased characters,5.0,1979-06-01
lepard (earth-616),secret identity,good characters,not-available,not-available,male characters,deceased characters,7.0,1966-11-01
chili storm (earth-616),public identity,not-available,green eyes,red hair,female characters,living characters,284.0,1948-10-01
pisces (female lmd) (earth-616),not-available,not-available,not-available,blond hair,female characters,living characters,4.0,1977-08-01
terdu (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1945-03-01
tyro (earth-616),public identity,good characters,orange eyes,no hair,male characters,living characters,4.0,2008-05-01
veritas (earth-616),not-available,neutral characters,not-available,not-available,male characters,living characters,1.0,1967-03-01
kehl (earth-616),public identity,bad characters,not-available,no hair,male characters,living characters,3.0,1985-05-01
anton vanko (whiplash) (earth-616),secret identity,bad characters,brown eyes,black hair,male characters,living characters,16.0,2010-01-01
red shift (earth-616),secret identity,not-available,not-available,not-available,male characters,deceased characters,13.0,1999-09-01
kurani (earth-616),public identity,not-available,red eyes,no hair,not-available,living characters,2.0,2007-03-01
zedrao (earth-616),secret identity,bad characters,green eyes,no hair,male characters,living characters,7.0,1982-04-01
eliot franklin (thunderball) (earth-616),public identity,bad characters,brown eyes,black hair,male characters,living characters,146.0,1974-11-01
azunbulxibar (earth-616),secret identity,not-available,not-available,not-available,male characters,living characters,1.0,1989-06-01
kathryn worthington (earth-616),public identity,good characters,blue eyes,blond hair,female characters,deceased characters,19.0,1965-11-01
beemer (earth-616),not-available,bad characters,not-available,bald,male characters,living characters,11.0,2003-06-01
barb (employee of arcade) (earth-616),secret identity,not-available,yellow eyes,no hair,male characters,living characters,2.0,1994-06-01
clayton wojciehowicz (earth-616),public identity,bad characters,black eyes,bald,male characters,deceased characters,3.0,2008-05-01
madame hydra (heroes reborn) (earth-616),not-available,bad characters,not-available,not-available,female characters,deceased characters,5.0,1996-11-01
victor von doom (impostor) (earth-616),secret identity,bad characters,red eyes,not-available,male characters,living characters,2.0,1992-09-01
kaa (earth-616),secret identity,bad characters,not-available,not-available,male characters,deceased characters,6.0,1960-12-01
xa (earth-616),not-available,bad characters,not-available,red hair,female characters,living characters,5.0,1990-12-01
black maria (earth-616),secret identity,neutral characters,white eyes,black hair,female characters,living characters,3.0,2007-12-01
richard jones (phantom reporter) (earth-616),secret identity,good characters,blue eyes,red hair,male characters,living characters,19.0,1940-04-01
melvin scarbo (earth-616),secret identity,bad characters,brown eyes,bald,male characters,living characters,9.0,1970-03-01
bront (earth-616),no dual identity,bad characters,not-available,no hair,male characters,living characters,3.0,1993-04-01
heinrich zemo (heroes reborn) (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,7.0,1997-04-01
gilbert benson (earth-616),secret identity,neutral characters,not-available,brown hair,male characters,deceased characters,6.0,1991-08-01
loki laufeyson (kid loki) (earth-616),secret identity,good characters,green eyes,black hair,male characters,deceased characters,13.0,2011-01-01
alec maloni (earth-616),no dual identity,good characters,not-available,not-available,male characters,living characters,4.0,1996-04-01
kai-ra (earth-616),secret identity,bad characters,not-available,no hair,male characters,living characters,2.0,1992-05-01
kwill (earth-616),secret identity,not-available,not-available,not-available,male characters,deceased characters,1.0,1985-12-01
eugene mason (earth-616),secret identity,not-available,not-available,blond hair,male characters,deceased characters,5.0,1984-05-01
khufor (earth-616),public identity,bad characters,blue eyes,no hair,male characters,living characters,4.0,1940-09-01
tityus (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,2.0,1994-06-01
price (worldengine) (earth-616),public identity,bad characters,blue eyes,white hair,male characters,deceased characters,2.0,1996-01-01
xanto starblood (earth-616),secret identity,bad characters,purple eyes,no hair,male characters,living characters,8.0,2012-04-01
brag beaver (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1951-07-01
zoran (earth-616),no dual identity,bad characters,not-available,black hair,male characters,deceased characters,3.0,2007-10-01
sasha (earth-616),public identity,good characters,not-available,blond hair,female characters,living characters,3.0,2004-08-01
wanda maximoff (skrull) (earth-616),secret identity,bad characters,green eyes,no hair,female characters,living characters,3.0,2008-06-01
klara prast (earth-616),secret identity,good characters,blue eyes,black hair,female characters,living characters,29.0,2007-08-01
lawrence chesney (earth-616),secret identity,not-available,brown eyes,brown hair,male characters,living characters,15.0,1975-08-01
consultant (earth-616),secret identity,bad characters,black eyes,no hair,male characters,living characters,15.0,2006-04-01
ghostly terrill (earth-616),public identity,bad characters,not-available,white hair,male characters,deceased characters,1.0,1944-12-01
ho yinsen (earth-616),public identity,good characters,brown eyes,white hair,male characters,deceased characters,32.0,1963-03-01
harlan krueger (earth-616),secret identity,bad characters,blue eyes,bald,male characters,deceased characters,14.0,1973-11-01
iann-23 (earth-616),public identity,good characters,blue eyes,no hair,male characters,living characters,41.0,1982-01-01
"charles, prince of wales (earth-616)",public identity,good characters,not-available,grey hair,male characters,living characters,2.0,not-available
doctor necrosis (earth-616),public identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1944-03-01
mist (earth-616),secret identity,good characters,not-available,blond hair,female characters,living characters,7.0,not-available
opal tanaka (earth-616),no dual identity,not-available,blue eyes,black hair,female characters,living characters,26.0,1990-02-01
top man (earth-616),not-available,bad characters,black eyes,black hair,male characters,living characters,3.0,1970-08-01
borya cich (earth-616),no dual identity,bad characters,blue eyes,bald,male characters,deceased characters,6.0,2012-10-01
bereet (earth-616),no dual identity,not-available,red eyes,no hair,female characters,living characters,17.0,1982-03-01
dormammu (earth-616),no dual identity,bad characters,yellow eyes,no hair,male characters,living characters,132.0,1964-11-01
william knox (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,6.0,1992-07-01
martha davis (earth-616),public identity,good characters,not-available,brown hair,female characters,living characters,1.0,1940-08-01
protozoan porter (legion personality) (earth-616),secret identity,neutral characters,not-available,no hair,not-available,living characters,2.0,not-available
gazer (earth-616),secret identity,neutral characters,green eyes,green hair,male characters,deceased characters,12.0,2005-06-01
witness (1949) (earth-616),secret identity,neutral characters,not-available,not-available,male characters,living characters,5.0,1949-01-01
leyla (earth-616),not-available,bad characters,not-available,not-available,female characters,living characters,4.0,2004-06-01
eugene van der merwe (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,4.0,1989-06-01
eluke (earth-616),public identity,good characters,white eyes,not-available,male characters,deceased characters,2.0,1980-07-01
keep (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,4.0,2012-08-01
steve rubino (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,9.0,1991-05-01
"nick lewis, jr. (earth-616)",secret identity,bad characters,brown eyes,black hair,male characters,living characters,4.0,1975-11-01
apalla (earth-616),secret identity,not-available,not-available,red hair,female characters,living characters,6.0,1977-04-01
sarah stacy (earth-616),no dual identity,good characters,blue eyes,blond hair,female characters,living characters,15.0,2004-08-01
ereshkigal (goddess) (earth-616),not-available,bad characters,blue eyes,black hair,female characters,living characters,2.0,1982-10-01
zar (nowhere) (earth-616),no dual identity,bad characters,not-available,white hair,male characters,living characters,1.0,1942-12-01
tyrr (earth-616),public identity,neutral characters,not-available,brown hair,male characters,living characters,2.0,1972-09-01
min li ng (earth-616),secret identity,bad characters,brown eyes,black hair,female characters,living characters,13.0,1991-01-01
dogma (earth-616),secret identity,bad characters,not-available,no hair,male characters,living characters,3.0,2002-08-01
william young (earth-616),not-available,bad characters,brown eyes,black hair,male characters,deceased characters,5.0,1975-06-01
creature from krogarr (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,3.0,1961-11-01
marci camp (earth-616),secret identity,bad characters,blue eyes,not-available,female characters,living characters,2.0,not-available
george whitaker (earth-616),public identity,neutral characters,not-available,not-available,male characters,deceased characters,1.0,1945-12-01
tragg (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,3.0,1971-10-01
ms. welsh (earth-616),public identity,not-available,not-available,brown hair,female characters,living characters,1.0,1985-12-01
juan luis fernandez (earth-616),secret identity,bad characters,not-available,black hair,male characters,deceased characters,1.0,1948-11-01
kan (earth-616),no dual identity,neutral characters,not-available,bald,male characters,living characters,2.0,1980-10-01
kray-tor (earth-616),public identity,not-available,not-available,no hair,male characters,deceased characters,17.0,1975-06-01
colleen wing (earth-616),public identity,good characters,blue eyes,auburn hair,female characters,living characters,175.0,1974-11-01
jonathan caesar (earth-616),public identity,bad characters,blue eyes,blond hair,male characters,deceased characters,13.0,1988-09-01
frank rambeau (earth-616),public identity,good characters,not-available,white hair,male characters,living characters,10.0,1984-08-01
jeanne chretien (earth-616),secret identity,neutral characters,not-available,not-available,female characters,living characters,2.0,1985-12-01
sayf ad-din abu bakr al-malik al-adil (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,1.0,1990-08-01
carmen nobili (earth-616),public identity,bad characters,brown eyes,bald,male characters,deceased characters,5.0,not-available
jimmy everett (earth-616),not-available,good characters,blue eyes,blond hair,male characters,living characters,3.0,not-available
count lust (earth-616),secret identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1943-09-01
jack williams (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,2.0,1945-07-01
martin goodman (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,2.0,1942-08-01
talan (earth-616),public identity,good characters,not-available,black hair,male characters,deceased characters,2.0,1994-02-01
dafydd ap iowerth (earth-616),public identity,good characters,blue eyes,black hair,male characters,living characters,4.0,1989-03-01
matilda von tromp (earth-616),secret identity,bad characters,not-available,red hair,female characters,living characters,4.0,1976-01-01
anton vanko (heroes reborn) (earth-616),public identity,bad characters,not-available,not-available,male characters,deceased characters,2.0,1997-08-01
justicar (earth-616),public identity,neutral characters,not-available,not-available,female characters,deceased characters,3.0,2013-04-01
sigyn (earth-616),secret identity,good characters,blue eyes,blond hair,female characters,living characters,22.0,1978-09-01
megara (earth-616),not-available,good characters,not-available,not-available,female characters,deceased characters,4.0,2005-09-01
spence williams (earth-616),public identity,good characters,not-available,red hair,male characters,living characters,2.0,2002-04-01
maria hill (earth-616),no dual identity,good characters,brown eyes,black hair,female characters,living characters,325.0,2005-04-01
arthur dearborn (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,15.0,1981-02-01
jonathan n. york (earth-616),secret identity,bad characters,not-available,not-available,male characters,living characters,3.0,2009-08-01
scaldings (earth-616),not-available,bad characters,not-available,not-available,not-available,living characters,2.0,1995-10-01
daniel fielstein (earth-616),public identity,good characters,not-available,black hair,male characters,living characters,24.0,1990-11-01
steven coffin (earth-616),public identity,good characters,blue eyes,brown hair,male characters,living characters,8.0,1979-02-01
sarah garza (earth-616),no dual identity,good characters,black eyes,brown hair,female characters,living characters,2.0,not-available
unipar (earth-616),public identity,bad characters,not-available,blond hair,male characters,living characters,3.0,1987-09-01
buck cowan (earth-616),no dual identity,good characters,not-available,brown hair,male characters,living characters,42.0,1972-06-01
frank farnum (earth-616),not-available,bad characters,brown eyes,black hair,male characters,living characters,28.0,1966-05-01
jonathan bryant (human) (earth-616),public identity,neutral characters,blue eyes,brown hair,male characters,deceased characters,5.0,2008-09-01
jenna cole (earth-616),public identity,good characters,blue eyes,white hair,female characters,living characters,4.0,2009-03-01
jacob fury (earth-616),secret identity,neutral characters,blue eyes,brown hair,male characters,living characters,30.0,1967-08-01
buck richlen (earth-616),no dual identity,bad characters,not-available,blond hair,male characters,living characters,6.0,1978-12-01
nestor garcia (earth-616),no dual identity,not-available,black eyes,black hair,male characters,living characters,5.0,2004-01-01
astarte (earth-616),secret identity,bad characters,not-available,brown hair,female characters,living characters,2.0,1999-08-01
dicero (earth-616),secret identity,good characters,not-available,grey hair,male characters,living characters,2.0,2008-07-01
frank scalise (earth-616),secret identity,not-available,not-available,not-available,male characters,living characters,5.0,1979-04-01
denebo aruc iii (earth-616),public identity,not-available,not-available,bald,male characters,deceased characters,3.0,2006-04-01
kraa (luphomoid) (earth-616),public identity,bad characters,white eyes,not-available,male characters,living characters,2.0,1995-03-01
greta abbott (earth-616),public identity,bad characters,not-available,blond hair,female characters,deceased characters,4.0,2006-02-01
keerg (earth-616),public identity,bad characters,not-available,black hair,male characters,living characters,4.0,1998-04-01
moru (earth-616),public identity,not-available,black eyes,brown hair,male characters,deceased characters,6.0,1994-08-01
ghost of the antarctic (earth-616),secret identity,neutral characters,not-available,not-available,female characters,living characters,1.0,1954-06-01
freddy sykes (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,4.0,1960-03-01
niko constantin (earth-616),secret identity,bad characters,not-available,brown hair,male characters,living characters,2.0,2011-06-01
celia rawlings (earth-616),not-available,good characters,not-available,not-available,female characters,deceased characters,4.0,1965-09-01
william goldman (earth-616),not-available,not-available,not-available,not-available,male characters,living characters,1.0,1989-07-01
lothithanriaxiaxus (earth-616),public identity,not-available,not-available,green hair,male characters,living characters,2.0,2010-01-01
kaldera (earth-616),public identity,bad characters,not-available,brown hair,female characters,living characters,2.0,not-available
sybil (earth-616),secret identity,bad characters,not-available,bald,female characters,living characters,3.0,1997-09-01
michael duffy (earth-616),public identity,good characters,not-available,brown hair,male characters,deceased characters,82.0,1941-03-01
tarianna (earth-616),public identity,good characters,green eyes,red hair,female characters,living characters,12.0,1984-06-01
velasquesa (earth-616),public identity,bad characters,not-available,white hair,male characters,deceased characters,4.0,1947-01-01
emma malone (earth-616),secret identity,good characters,blue eyes,white hair,female characters,living characters,4.0,1993-10-01
maya teraxtola (earth-616),not-available,not-available,not-available,blond hair,female characters,living characters,10.0,1993-03-01
black swan (earth-616),secret identity,bad characters,brown eyes,brown hair,male characters,deceased characters,10.0,2002-05-01
gallery (earth-616),public identity,bad characters,not-available,not-available,male characters,living characters,1.0,1947-03-01
sentinel mk iii (earth-616),no dual identity,bad characters,yellow eyes,no hair,not-available,deceased characters,12.0,1975-12-01
kuan-yin xorn (earth-616),secret identity,bad characters,not-available,not-available,male characters,deceased characters,41.0,2001-09-01
tath ki (earth-616),secret identity,good characters,blue eyes,bald,male characters,living characters,28.0,1976-06-01
bron (earth-616),public identity,good characters,not-available,brown hair,male characters,living characters,6.0,2000-10-01
alpha (mad thinker robot) (earth-616),no dual identity,bad characters,white eyes,no hair,male characters,living characters,1.0,1983-05-01
ogun (loa) (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,3.0,1990-05-01
ultimaton (earth-616),secret identity,good characters,not-available,no hair,male characters,living characters,18.0,2003-08-01
zoroaster (earth-616),not-available,bad characters,white eyes,black hair,not-available,living characters,2.0,1994-08-01
jamal afari (earth-616),public identity,good characters,brown eyes,black hair,male characters,living characters,5.0,1975-09-01
lance gwynn (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,2.0,1997-08-01
laura kinney (earth-616),secret identity,good characters,green eyes,black hair,female characters,living characters,265.0,2004-02-01
tommy tomkins (earth-616),public identity,not-available,not-available,white hair,male characters,living characters,3.0,1966-07-01
roland burroughs (earth-616),secret identity,bad characters,blue eyes,not-available,male characters,deceased characters,29.0,1980-06-01
anzehlika medvedev (earth-616),no dual identity,neutral characters,blue eyes,black hair,female characters,living characters,2.0,2002-06-01
rose delany (earth-616),public identity,neutral characters,green eyes,blond hair,female characters,deceased characters,5.0,2003-07-01
torrak (earth-616),not-available,not-available,not-available,no hair,male characters,living characters,2.0,1962-07-01
cartwright (earth-616),not-available,not-available,black eyes,grey hair,male characters,living characters,1.0,1966-03-01
danny grogan (earth-616),no dual identity,bad characters,not-available,brown hair,male characters,living characters,1.0,1946-06-01
monk theppie (earth-616),secret identity,bad characters,not-available,bald,male characters,deceased characters,3.0,2008-12-01
scar (earth-616),secret identity,bad characters,not-available,bald,male characters,deceased characters,1.0,1941-10-01
dennis wells (earth-616),not-available,good characters,brown eyes,brown hair,male characters,living characters,4.0,2012-06-01
barry gwynn (earth-616),secret identity,neutral characters,not-available,grey hair,male characters,living characters,2.0,2008-05-01
dormouse (earth-616),not-available,bad characters,not-available,not-available,male characters,living characters,2.0,1998-04-01
bambina arbogast (earth-616),no dual identity,good characters,blue eyes,black hair,female characters,living characters,125.0,1979-01-01
demiurge (earth-616),not-available,not-available,not-available,not-available,not-available,living characters,1.0,1982-10-01
danad (earth-616),no dual identity,neutral characters,not-available,no hair,male characters,living characters,1.0,1969-02-01
super-adaptoid (heroes reborn) (earth-616),not-available,good characters,not-available,not-available,not-available,living characters,2.0,1997-09-01
jack power (earth-616),secret identity,good characters,blue eyes,brown hair,male characters,living characters,106.0,1984-08-01
jonathan powell (earth-616),not-available,neutral characters,not-available,not-available,male characters,living characters,46.0,1991-03-01
hippolyta (earth-616),secret identity,neutral characters,blue eyes,blond hair,female characters,living characters,27.0,1966-04-01
charr (earth-616),public identity,not-available,red eyes,bald,male characters,deceased characters,2.0,2006-09-01
victoria donnely (earth-616),secret identity,good characters,not-available,blond hair,female characters,living characters,2.0,2000-02-01
driver reese (earth-616),not-available,neutral characters,green eyes,black hair,female characters,deceased characters,3.0,2011-02-01
izanagi-no-mikoto (earth-616),secret identity,not-available,brown eyes,black hair,male characters,living characters,7.0,1980-10-01
yana li (earth-616),secret identity,neutral characters,not-available,brown hair,female characters,living characters,3.0,2009-08-01
walter macken (earth-616),no dual identity,good characters,not-available,not-available,male characters,living characters,18.0,2010-09-01
pele (oceanic goddess) (earth-616),secret identity,good characters,brown eyes,black hair,female characters,living characters,4.0,1998-09-01
jonathan raven (earth-616),secret identity,not-available,not-available,brown hair,male characters,living characters,3.0,2007-01-01
hiroim (earth-616),public identity,not-available,not-available,black hair,male characters,living characters,35.0,2006-04-01
gosamyr (earth-616),secret identity,not-available,black eyes,blond hair,female characters,living characters,14.0,1988-08-01
cole (omega core) (earth-616),public identity,good characters,not-available,brown hair,male characters,living characters,7.0,2004-05-01
eric beale (earth-616),not-available,bad characters,not-available,grey hair,male characters,living characters,3.0,1984-10-01
geoffrey wilder (earth-616),secret identity,neutral characters,brown eyes,black hair,male characters,deceased characters,38.0,2003-07-01
james (trapeze artist) (earth-616),no dual identity,neutral characters,not-available,not-available,male characters,deceased characters,5.0,1974-04-01
jean grey (skrull) (earth-616),secret identity,bad characters,green eyes,red hair,female characters,deceased characters,6.0,2008-06-01
arnie roth (earth-616),no dual identity,good characters,not-available,not-available,male characters,deceased characters,26.0,1982-04-01
