88 (earth-616)
ben jacobs (earth-616)
benedict kine (earth-616)
benjamin grimm (onslaught reborn) (earth-616)
bentley wittman (clone) (earth-616)
bercilak de hautdesert (earth-616)
bereet (earth-616)
berserker (android) (earth-616)
bert hindle (earth-616)
beryl (earth-616)
betsy schneider (earth-616)
beverly strange (earth-616)
bezial (earth-616)
big mother (earth-616)
bill dawson (earth-616)
billy russo (earth-616)
billy wheeler (earth-616)
biotron ii (earth-616)
birdbeast (earth-616)
bitmap (earth-616)
black eagle (earth-616)
black knight (robot) (earth-616)
black knight (servant) (earth-616)
black maria (earth-616)
black swan (earth-616)
blacklash (thunderbolts) (earth-616)
blackthorn (earth-616)
blake (a.i.m.) (earth-616)
blasting cap (earth-616)
bleeding image (legion personality) (earth-616)
blodwen reese (earth-616)
bludgeon (ransome sole) (earth-616)
bludgeon (ucwf) (earth-616)
bodb derg (earth-616)
bonebreaker (earth-616)
boneyard (earth-616)
boobytrap (earth-616)
borya cich (earth-616)
bouncing betty (earth-616)
boyd buzzard (earth-616)
brandy ash (earth-616)
brian braddock (earth-616)
brian dewolff (earth-616)
bridget malone (earth-616)
brigitte lahti (earth-616)
broadside (crimson pirates) (earth-616)
brock jones (earth-616)
brock rumlow (heroes reborn) (earth-616)
brodag (earth-616)
brokar (earth-616)
broken blade (earth-616)
brokk (dwarf) (earth-616)
bron (earth-616)
bronchar (earth-616)
bront (earth-616)
broo (earth-616)
brother honcho (earth-616)
brother inquisitor (earth-616)
bruno costa (earth-616)
brutus (earth-616)
bryson bale (earth-616)
bubble (mutant) (earth-616)
buck cashman (earth-616)
buck richlen (earth-616)
bugman (earth-616)
bull (moon knight foe) (earth-616)
burka (earth-616)
burt corrigan (earth-616)
burt horowitz (earth-616)
butterfly (avatars) (earth-616)
caiera (earth-616)
cain (abel) (earth-616)
calcabrina (earth-616)
caleb hammer (earth-616)
caleb walker (earth-616)
calvin carr (earth-616)
camazotz (earth-616)
cameron hodge (earth-616)
campbell saint-ange (earth-616)
capricorn (android) (earth-616)
carbon (human) (earth-616)
carcass (earth-616)
carina walters (earth-616)
carl brock (earth-616)
carl josten (earth-616)
carl mach (earth-616)
carl weatherby (earth-616)
carla ballinger (earth-616)
carlton sanders (earth-616)
carol harding (earth-616)
carolina washington (earth-616)
carrie bradley (earth-616)
carrion crow (earth-616)
carthus (earth-616)
cary grant (earth-616)
caspar wright (earth-616)
casper whimpley (earth-616)
cassie dolan (earth-616)
catastrophe jen (earth-616)
cathy webster (earth-616)
cauldron (earth-616)
century (alien) (earth-616)
cerberus (shogun warriors) (earth-616)
cerez (earth-616)
cerise (ravens) (earth-616)
chance (fallen angels) (earth-616)
chango (santerians) (earth-616)
chao sima (earth-616)
charles anderson (earth-616)
charles edison (earth-616)
charles moss (earth-616)
charles shaddock (earth-616)
charlie (earth-616)
charlie cluster-7 (cluster) (earth-616)
charlton grundge (earth-616)
charn (earth-616)
charr (earth-616)
cheryl lansing (earth-616)
chi-chee (earth-616)
chief authier (earth-616)
chris chernin (earth-616)
christian poulsen (earth-616)
christina carr (earth-616)
christina valentino (earth-616)
christopher alleyne (earth-616)
christopher bradley (earth-616)
chtylok (earth-616)
cindy knutz (earth-616)
cinglet (earth-616)
claude cramer (earth-616)
clayton wojciehowicz (earth-616)
clearcut (earth-616)
cloot (earth-616)
clown (franklin) (earth-616)
cody robbins (earth-616)
cole (omega core) (earth-616)
collier mack (earth-616)
concussion (earth-616)
condor (nova foe) (earth-616)
conrad mack (earth-616)
conserve and protect (earth-616)
constantius (earth-616)
consultant (earth-616)
conundrum (earth-616)
coral (microverse) (earth-616)
cordite (earth-616)
cosmo (dog) (earth-616)
craig hollis (earth-616)
criti noll (clone) (earth-616)
cruz bushmaster (earth-616)
curtiss jackson (earth-616)
cut (wendy) (earth-616)
cyanide (earth-616)
cybortrons (earth-616)
cyclops (lobe) (earth-616)
cyndi (legion personality) (earth-616)
cyra (asgardian) (earth-616)
d.c.1. (a.i.m.) (earth-616)
dafydd ap iowerth (earth-616)
daggaerdh (earth-616)
dagny forrester (earth-616)
dai kumo (earth-616)
daillus (earth-616)
daisy johnson (earth-616)
dakari (earth-616)
dania (earth-616)
daniel brantson (earth-616)
daniel dash (earth-616)
daniel davis (earth-616)
daniel fielstein (earth-616)
daniel jones (torpedo) (earth-616)
daniel kaufman (earth-616)
daniel sylva (earth-616)
daniel whitehall (earth-616)
danielle forte (earth-616)
dargil (earth-616)
dark (soldiers of misfortune) (earth-616)
darlene dunderbeck (earth-616)
darnak (earth-616)
david stack (earth-616)
davis (mutant) (earth-616)
davis cameron (earth-616)
dawn middlebury (earth-616)
deacon (earth-616)
deadshot darrance (earth-616)
dean boswell (earth-616)
dean swayvrick (earth-616)
death-stalker (earth-616)
deborah bertrand (earth-616)
deborah green (earth-616)
deborah kinney (earth-616)
delbert (tantrum) (earth-616)
delmurio (earth-616)
delphan brothers (earth-616)
demiurge (earth-616)
denebo aruc iii (earth-616)
dennis golembuski (earth-616)
dennis sykes (earth-616)
dennis wells (earth-616)
derek bishop (earth-616)
derek petrie (earth-616)
derek smalls (earth-616)
desidera (earth-616)
desmond charne (earth-616)
devil-spider (earth-616)
devon lewis (earth-616)
diane davids (earth-616)
diane lamarr (earth-616)
dicero (earth-616)
diego sandoval (earth-616)
dimitri bukharin (earth-616)
dina (earth-616)
diomedes (earth-616)
dionysus (eternal) (earth-616)
dirtnap (earth-616)
dismember (earth-616)
ditto (earth-616)
doctor castillo (earth-616)
doctor kurarkill (earth-616)
doctor snodgrass (earth-616)
doctor stack (earth-616)
doctor yesterday (earth-616)
doeke riebeeck (earth-616)
dogma (earth-616)
doka (snakeroot) (earth-616)
dominic tyrone (earth-616)
don remming (earth-616)
don rigoletto (earth-616)
donald callahan (earth-616)
donald gill (earth-616)
donna strange (earth-616)
doop (earth-616)
doris jacquet (earth-616)
dorma (heroes reborn) (earth-616)
dormouse (earth-616)
dorothy alleyne (earth-616)
doyle (earth-616)
dr. burke (earth-616)
draconis (earth-616)
dragonfire (earth-616)
dragonwing (earth-616)
dreadface (earth-616)
drew daniels (earth-616)
driver reese (earth-616)
druig (earth-616)
dulb (earth-616)
dusk (demon) (earth-616)
dutta (earth-616)
duvid fortunov (earth-616)
dwight stanford (earth-616)
ed croesus (earth-616)
edgar lascombe (earth-616)
edmond atkinson (earth-616)
edward cross (earth-616)
edward tancredi (earth-616)
edward vance (earth-616)
eelar (earth-616)
eileen harsaw (earth-616)
el caiman (earth-616)
elaine banner (earth-616)
elaine kendrick (earth-616)
eldred (earth-616)
eleanor bennett (earth-616)
elisabeth wilford (earth-616)
elite (vigilante squad) (earth-616)
elizabeth benning (earth-616)
elizabeth twoyoungmen (earth-616)
ellie jones (earth-616)
ellie phimister (earth-616)
ellis love (earth-616)
els udonta (earth-616)
elsie dee (earth-616)
eluke (earth-616)
elyse nelson (earth-616)
emil lapin (earth-616)
emma frost (earth-616)
emma malone (earth-616)
emmael (earth-616)
empathoid (earth-616)
emrys killebrew (earth-616)
en sabah nur (earth-616)
endgame (legion personality) (earth-616)
ereshkigal (goddess) (earth-616)
eric beale (earth-616)
eric brooks (doppelganger) (earth-616)
eric gitter (earth-616)
eric kleinstock (earth-616)
eric solvang (earth-616)
eric willis (earth-616)
erich eisenhardt (earth-616)
erin cicero (earth-616)
ernest scope (earth-616)
ernst sablinova (earth-616)
ethan thurm (earth-616)
eugene mason (earth-616)
eugene stivak (earth-616)
eugene van der merwe (earth-616)
eurystheus (earth-616)
evolutionary (earth-616)
examiner (earth-616)
executioner (crazy gang) (earth-616)
fader (earth-616)
fallen one (herald) (earth-616)
falzone (earth-616)
fantasia (earth-616)
fatale (earth-616)
father mcfarland (earth-616)
federico valencia (earth-616)
fee-lon (earth-616)
felicia hardy (earth-616)
felix guillermo caridad (earth-616)
fieldstone (earth-616)
filene abdol (earth-616)
fin fang foom (clone) (earth-616)
fiona mcmurdo (earth-616)
fiona rivera (earth-616)
firearms (earth-616)
firefist (earth-616)
fireflyte (earth-616)
firestryke (earth-616)
first fallen (earth-616)
flea-market eating flea (earth-616)
fletcher (earth-616)
fletcher heggs (earth-616)
fool (earth-616)
foxbat (earth-616)
francis klum (earth-616)
frank bohannan (earth-616)
frank rambeau (earth-616)
frank scalise (earth-616)
frankie kollins (earth-616)
franklin neal (earth-616)
franz (dermafree) (earth-616)
franz kraus (earth-616)
freddie glazer (earth-616)
friendless (earth-616)
frisky martin (earth-616)
fritz kalb (earth-616)
fugue (tektos) (earth-616)
gabriella sapristi (earth-616)
gallon (asgardian) (earth-616)
ganymede (spinsterhood) (earth-616)
garth (other realm) (earth-616)
gazer (earth-616)
geatar (earth-616)
general obsidian (earth-616)
general skul (earth-616)
general whedon (earth-616)
geoffrey wilder (earth-616)
george hill (earth-616)
gerald ford (earth-616)
gerald stone (earth-616)
gerry lequarre (earth-616)
gert hauptmann (earth-616)
gertrude yorkes (earth-616)
ghost rider (native american) (earth-616)
gideon blaine (earth-616)
giganto (heroes reborn) (earth-616)
gilbert benson (earth-616)
gilgamesh (earth-616)
gilpetperdon (earth-616)
gina dyson (earth-616)
glaboo (earth-616)
glenn reeper (earth-616)
gloria angel (earth-616)
gloria garsen (earth-616)
go vin ng (earth-616)
godfrey calthrop (earth-616)
gorani (earth-616)
gordon savinski (earth-616)
gordon thomas (earth-616)
gormuu (earth-616)
gorn (demon) (earth-616)
gosamyr (earth-616)
goth (earth-616)
gothog (earth-616)
gouzar (earth-616)
grace (mannite) (earth-616)
gracie gamble (earth-616)
gray dolman (earth-616)
greasy (earth-616)
gregor smerdyakov (earth-616)
gregory slivovitz (earth-616)
greta abbott (earth-616)
grigory efimovich rasputin (earth-616)
grimgerta (earth-616)
gris gris (earth-616)
grungnir (earth-616)
gullveig (earth-616)
gullywhump (earth-616)
gummi (earth-616)
gunnhild (earth-616)
gustavo zapata (earth-616)
gyre (twisted sisters) (earth-616)
hack (mutant) (earth-616)
hagar (earth-616)
hakon (earth-616)
"han, chang, lin, sun, and ho tao-yu (earth-616)"
hank (earth-616)
hannah conover (earth-616)
harek korgon (earth-616)
harold becker (earth-616)
harold harold (earth-616)
harold hogan (heroes reborn) (earth-616)
harpagus (earth-616)
harpy (earth-616)
harriet homerstone (earth-616)
harriet munroe (earth-616)
harrison thompson (earth-616)
harvester (earth-616)
harvey jessup (earth-616)
headhunter (mutant) (earth-616)
heather glenn (earth-616)
hector ayala (earth-616)
hector espejo (earth-616)
hector ridondo (earth-616)
heidi sladkin (earth-616)
heinrich zemo (heroes reborn) (earth-616)
helleyes (earth-616)
helmut gruler (earth-616)
henrietta hunter (earth-616)
henrique gallante (earth-616)
henry gyrich (heroes reborn) (earth-616)
hepzibah (earth-616)
hepzibah (war skrull) (earth-616)
herbert isaacs (earth-616)
hideko takata (earth-616)
hiroim (earth-616)
hl\u00f6kk (earth-616)
hodiak (earth-616)
holly gillis (earth-616)
homebrew (earth-616)
honest john (earth-616)
hope (london morlock) (earth-616)
hope abbott (earth-616)
horatio piper (earth-616)
horus (deity) (earth-616)
hotei osho (earth-616)
huang zhu (earth-616)
hubie edge (earth-616)
hunter (pride) (earth-616)
hunter in darkness (earth-616)
hussar (earth-616)
hydra queen (grace) (earth-616)
hymir (earth-616)
hyppokri (earth-616)
hyrm (earth-616)
ian kendall (earth-616)
ian mcmasters (earth-616)
iann-23 (earth-616)
iara dos santos (earth-616)
ignacio alvarez (earth-616)
ignatz goldman (earth-616)
ika (earth-616)
illich lavrov (earth-616)
impala (earth-616)
impulse (earth-616)
intuition (earth-616)
iridia (earth-616)
irina clayton (earth-616)
isaac newton (earth-616)
isabel ferguson (earth-616)
ixchel (earth-616)
izanagi-no-mikoto (earth-616)
j. vernon mann (earth-616)
j.r. van de kalb (earth-616)
jack power (earth-616)
jacob grimm (earth-616)
jacob nash (earth-616)
jacob vandernet (earth-616)
jacob wallaby (earth-616)
jakkelburr (earth-616)
jakob eisenhardt (earth-616)
jam (earth-616)
jamal afari (earth-616)
james bourne (earth-616)
james darnell (earth-616)
james madrox (mutate duplicate) (earth-616)
james santini (earth-616)
jamil (earth-616)
jan (earth-616)
jane hampshire (earth-616)
janet galloway (earth-616)
janice lincoln (earth-616)
jared kurtz (earth-616)
jason dean (earth-616)
jason struthers (earth-616)
jat vor-thrul (earth-616)
jean dewolff (earth-616)
jean grey (skrull) (earth-616)
jeanne chretien (earth-616)
jebediah young (earth-616)
jeff hagees (earth-616)
jeff turner (earth-616)
jeffrey holloway (earth-616)
jemail karami (earth-616)
jemima catmint (earth-616)
jen baker (earth-616)
jenna cole (earth-616)
jenni pate (earth-616)
jennifer leigh (earth-616)
jennifer stavros (earth-616)
jenny (reporter) (earth-616)
jeremy briggs (earth-616)
jergal zadh (earth-616)
jerry halliwell (earth-616)
jesse aaronson (earth-616)
jesse johns (earth-616)
jesse metuchen (earth-616)
jessie (sentinel) (earth-616)
jill stacy (earth-616)
jillian (earth-616)
jiru (earth-616)
joanna cargill (earth-616)
joel drake (earth-616)
joelle guthrie (earth-616)
john aman (earth-616)
john anderson (earth-616)
john cereus (earth-616)
john cheever (earth-616)
"john howlett, jr. (earth-616)"
"john jonah jameson, sr. (earth-616)"
john sharpe (earth-616)
john skulinowski (earth-616)
john walker (earth-616)
john watkins jr. (earth-616)
jolen (earth-616)
jonas mueller (earth-616)
jonathan bryant (human) (earth-616)
jonathan caesar (earth-616)
jonathan garrett (earth-616)
jonathan n. york (earth-616)
jonathan powell (earth-616)
jonathan raven (earth-616)
jonathan rich (earth-616)
jonathan somers (earth-616)
jorge latham (earth-616)
joseph kragowski (earth-616)
joseph trinity (earth-616)
josephine pulaski (earth-616)
josie beller (earth-616)
joss kincaid (earth-616)
joyride (earth-616)
juan elmirez (earth-616)
judith klemmer (earth-616)
julia black (earth-616)
julia cabot (earth-616)
julian keller (earth-616)
julius (earth-616)
juno (earth-616)
justicar (earth-616)
justine chase (earth-616)
jutta (earth-616)
k\u0101ne milohai (earth-616)
kade kilgore (earth-616)
kai-ra (earth-616)
kali (goddess) (earth-616)
kallark (earth-616)
kaminari (goddess) (earth-616)
kan (earth-616)
karima (earth-616)
karima shapandar (earth-616)
karkas (earth-616)
karlin malus (earth-616)
kate vinokur (earth-616)
katherine bishop (earth-616)
katherine waynesboro (earth-616)
katyusha (anya) (earth-616)
keep (earth-616)
keerg (earth-616)
kehl (earth-616)
keith chandler (earth-616)
kenjiro fujikawa (earth-616)
kenneth crichton (earth-616)
kenneth krask (earth-616)
kevin cole (earth-616)
kevin krask (earth-616)
kevin tremain (earth-616)
khalid inshallah (earth-616)
khordes (earth-616)
killshot (earth-616)
killyu (earth-616)
kimura (earth-616)
kingmaker (earth-616)
kingmaker (wallace) (earth-616)
kingo sunen (earth-616)
kiskillilla (earth-616)
kiwi (earth-616)
kkallakku (earth-616)
klara prast (earth-616)
kofi annan (earth-616)
kogar (earth-616)
kono sanada (earth-616)
korath (inhuman) (earth-616)
korath-thak (earth-616)
korr (moloid) (earth-616)
kraa (luphomoid) (earth-616)
krakoa (earth-616)
krakoa iii (earth-616)
krakos (earth-616)
kray-tor (earth-616)
kristina anderson (earth-616)
krueger (earth-616)
kthara (earth-616)
kuan-yin xorn (earth-616)
kur (earth-616)
kurani (earth-616)
kurt gerhardt (earth-616)
kurt klemmer (earth-616)
kwill (earth-616)
l.d. 50 (earth-616)
lady lotus (earth-616)
lahoya scripps (earth-616)
lance gwynn (earth-616)
lara wilkinson (earth-616)
laura broadbahr (earth-616)
laura kinney (earth-616)
lawrence chesney (earth-616)
laynia petrovna (earth-616)
le loup (earth-616)
ledge (earth-616)
lenny ballinger (earth-616)
leonard kryzewski (earth-616)
leoninus (earth-616)
les (esu) (earth-616)
leslie dean (earth-616)
lethbridge-stewart (earth-616)
levan (earth-616)
leyla (earth-616)
lian shen (earth-616)
liberty girl (beverly) (earth-616)
lilandra neramani (earth-616)
lily cromwell (earth-616)
lily hollister (earth-616)
lindsay (earth-616)
loca (inferno baby) (earth-616)
lockheed (earth-616)
locksmith (earth-616)
loki laufeyson (kid loki) (earth-616)
lonnie shakespeare (earth-616)
lord moses (earth-616)
lord samedar (earth-616)
lorna kleinfeldt (earth-616)
lothithanriaxiaxus (earth-616)
louis lembert (earth-616)
"louis sadler, jr. (earth-616)"
louise hastings (earth-616)
lubyev (earth-616)
lucas jackson (earth-616)
lucky (earth-616)
luna depaula (earth-616)
luz santos (earth-616)
lysander (bloodseed)
mac garrity (earth-616)
madame hydra (heroes reborn) (earth-616)
madame joy (earth-616)
madcap (earth-616)
madeline watson (earth-616)
magdalena marie (earth-616)
magnus (sorcerer) (earth-616)
maguire beck (earth-616)
makoto (the hand) (earth-616)
maksim golitsyn (earth-616)
malachi (angel) (earth-616)
malachi toomes (earth-616)
malekith (earth-616)
malik tarcel (earth-616)
manslaughter marsdale (earth-616)
marcel deflandre (earth-616)
marci sabol (earth-616)
marcus andrews (earth-616)
marcus coriander (earth-616)
margaret voelker
marge brock (earth-616)
margoyle (earth-616)
mari (rigellian) (earth-616)
maria castle (earth-616)
maria de guadalupe santiago (earth-616)
maria hill (earth-616)
mariah ellenthorpe (earth-616)
marie-ange colbert (earth-616)
marjorie brink (earth-616)
mark cadmon (earth-616)
mark diering (earth-616)
markus ettlinger (earth-616)
marla madison (earth-616)
marsha rosenberg (earth-616)
martha paterson (earth-616)
martin bastelli (earth-616)
martin preston (earth-616)
marvin hoffman (earth-616)
mary drake (earth-616)
mary macpherran (earth-616)
marylin (mutant) (earth-616)
masque (morlock) (earth-616)
mass (freedom force) (earth-616)
master of the sun (earth-616)
mastermind (computer) (earth-616)
matador (juan) (earth-616)
matilda von tromp (earth-616)
matt coris (earth-616)
matt falcone (earth-616)
maurice fortuit (earth-616)
mawu (earth-616)
maximus jensen (earth-616)
maxwell glenn (earth-616)
maya lopez (earth-616)
maya teraxtola (earth-616)
mazinger z (earth-616)
mccleod (earth-616)
mcm-xli (earth-616)
meg (magistrate) (earth-616)
megara (earth-616)
melina vostokoff (earth-616)
menoetius (earth-616)
mercy lebeau (earth-616)
meryet karim (earth-616)
metzger (earth-616)
michael (genoshan mutate) (earth-616)
michael baer (earth-616)
michael bingham (earth-616)
michael collins (earth-616)
michael engelschwert (earth-616)
michael jeffries (earth-616)
michael phillips (earth-616)
michael stivak (earth-616)
michelle warkworth (earth-616)
miguel legar (earth-616)
miles brickman (earth-616)
miles warbeck (earth-616)
milo thurman (earth-616)
min li ng (earth-616)
miss diaz (earth-616)
mister clean (ucwf) (earth-616)
mister kenneth (earth-616)
mister mayhem (earth-616)
mister negative (earth-616)
moise bomvana (earth-616)
molly fitzgerald (earth-616)
mon-tog (earth-616)
monk theppie (earth-616)
monkey (earth-616)
monmouth (inner guard) (earth-616)
montenegro (earth-616)
montgomery burns (earth-616)
moran (earth-616)
morgan le fay (robot) (earth-616)
morton thurnton (earth-616)
moru (earth-616)
mosha (earth-616)
mother (earth-616)
mr. borkowski (earth-616)
mr. munroe (earth-616)
mr. payback (earth-616)
mr. raven (earth-616)
mroht (earth-616)
mrs. worthington ford iii (earth-616)
ms fortune (earth-616)
ms. welsh (earth-616)
mudbug (earth-616)
murderous lion (earth-616)
mute (earth-616)
myra haddock (earth-616)
mzungu (earth-616)
nadia dornova (earth-616)
nakh (earth-616)
nancy (earth-616)
nathan cooper (earth-616)
natsumi (earth-616)
ndebele (wakandan) (earth-616)
nebula (earth-616)
neil garrett (earth-616)
neptunus (earth-616)
nestor garcia (earth-616)
neut (earth-616)
nezhno abidemi (earth-616)
"nicholas fury, jr. (earth-616)"
"nick lewis, jr. (earth-616)"
nigel pigman (earth-616)
night raven (vigilante) (earth-616)
niko constantin (earth-616)
nikola tesla (earth-616)
nils styger (earth-616)
nina da costa (earth-616)
nina smith (earth-616)
noah van helsing (earth-616)
noble kale (earth-616)
nocturne (earth-616)
noriko ashida (earth-616)
noriko nagayoshi (earth-616)
north norrell (earth-616)
numacet (earth-616)
number nine (earth-616)
number six (nina) (earth-616)
nuro (earth-616)
nykonn (earth-616)
nyoirin henecha (earth-616)
o.z. chase (earth-616)
oak (earth-616)
obb (earth-616)
ocean (earth-616)
ogeode (earth-616)
ogun (loa) (earth-616)
old billy (earth-616)
oliver broadhurst (earth-616)
oliver stoker (earth-616)
omega black (earth-616)
one above all (earth-616)
onomi whitemane (earth-616)
opal tanaka (earth-616)
orb (zadkiel agent) (earth-616)
orphan-maker (peter) (earth-616)
oruthu (earth-616)
oscar (earth-616)
oscar clemons (earth-616)
oscuram (earth-616)
otmu (earth-616)
paingloss (earth-616)
pamela dean (earth-616)
parul kurinji (earth-616)
patriarch (earth-616)
patricia tilby (earth-616)
patsy dragonsworth (earth-616)
paul domenic (earth-616)
paul jansen (earth-616)
paul patterson (earth-616)
paul same (earth-616)
pavel chenklo (earth-616)
peggy rae (earth-616)
pele (oceanic goddess) (earth-616)
pentigaar (earth-616)
peter bristow (earth-616)
peter hunter (earth-616)
peter parker (guardian) (earth-616)
peter scholl (earth-616)
peter seyfert (earth-616)
peter spaulding (earth-616)
petunia grimm (earth-616)
phae-dor (earth-616)
phaedra (marvel uk) (earth-616)
phay (earth-616)
phil (airport) (earth-616)
phil descard (earth-616)
philip gavin (earth-616)
philip watson (earth-616)
phillip carlisle (earth-616)
phillip coulson (earth-616)
"phillip cussler, jr. (earth-616)"
phlish (earth-616)
phorcys (earth-616)
physique (earth-616)
piecemeal (mutate 416) (earth-616)
pietro sapristi (earth-616)
pinky fusser (earth-616)
pip gofern (earth-616)
piper (morlock) (earth-616)
pisces (female lmd) (earth-616)
porous (earth-616)
price (worldengine) (earth-616)
prince philip (earth-616)
priscilla lyons (earth-616)
protectroids
provost (earth-616)
psimon (earth-616)
purge (the arena) (earth-616)
purple hayes (earth-616)
pyre (damocles foundation) (earth-616)
pyron (earth-616)
quantum mechanic (earth-616)
radium (human) (earth-616)
rafe scanlon (earth-616)
ralph brickman (earth-616)
ramon de rico (earth-616)
randall crowne (earth-616)
randall jessup (earth-616)
randall pierce (earth-616)
randall shire (earth-616)
randy vale (earth-616)
raunch (earth-616)
ray morgan (earth-616)
ray-na (earth-616)
raymond royton (earth-616)
raymond sikorski (earth-616)
"raymond, sr. (earth-616)"
rayna piper (earth-616)
raza longknife (war skrull) (earth-616)
rebecca schuyler (earth-616)
red queen (earth-616)
red shift (earth-616)
red zeppelin (earth-616)
reginald fortean (earth-616)
rekrab (earth-616)
remora (atlantean) (earth-616)
ren\u00e9 duquesne (earth-616)
reno (earth-616)
revanche (kwannon) (earth-616)
revolutionary (skrull) (earth-616)
rex (earth-616)
rich van burian (earth-616)
richard deacon (earth-616)
richard dennison (earth-616)
richard earle amtower iv (earth-616)
richard palance (earth-616)
richard rider (earth-616)
richard yurocko (earth-616)
rick lawson (earth-616)
ricky calusky (earth-616)
rigo zapata (earth-616)
rita (waitress) (earth-616)
rita wayword (earth-616)
robert hagon (earth-616)
robert herman (earth-616)
robert jameson (earth-616)
robert jema (earth-616)
robert minoru (earth-616)
robert zepheniah (earth-616)
roberta (earth-616)
roberta rhodes (earth-616)
roberto da costa (reignfire) (earth-616)
robin braxton (earth-616)
rocco castiglione (earth-616)
rochester (earth-616)
roger cooper (earth-616)
roger norvell (earth-616)
rojas (earth-616)
roland burroughs (earth-616)
roland treece (earth-616)
rolfe (asgardian) (earth-616)
roman nekoboh (earth-616)
ronga (earth-616)
rootar (earth-616)
rosalie carbone (earth-616)
rosalind sharpe (earth-616)
rose delany (earth-616)
roy fortune (earth-616)
rufus carter (earth-616)
rumiko fujikawa (earth-616)
rupert helona (earth-616)
rupert holloway (earth-616)
russian (earth-616)
rust (earth-616)
rutger von bokhoven (earth-616)
ryan (earth-616)
s.h.i.v.a. (earth-616)
sablat (earth-616)
sabretooth (victor creed)
sack (earth-616)
saint cyrus leviticus (earth-616)
salac tuur (earth-616)
salamandra (earth-616)
sally (barmaid) (earth-616)
sally (earth-616)
sally roland (earth-616)
sam matonabbe (earth-616)
samuel clemens (robot) (earth-616)
samuel holden (earth-616)
samuel merrick (earth-616)
sangre (children of the vault) (earth-616)
